暗绿稀红   an4 lü4 xi1 hong2
鞍马劳顿   an1 ma3 lao2 dun4
鞍马劳倦   an1 ma3 lao2 juan4
鞍马劳困   an1 ma3 lao2 kun4
鞍马劳神   an1 ma3 lao2 shen2
鞍马之劳   an1 ma3 zhi1 lao2
安眉带眼   an1 mei2 dai4 yan3
暗昧之事   an4 mei4 zhi1 shi4
安民告示   an1 min2 gao4 shi4
按名责实   an4 ming2 ze2 shi2
按捺不住   an4 na4 bu4 zhu4
安内攘外   an1 nei4 rang3 wai4
按辔徐行   an4 pei4 xu2 xing2
安贫乐道   an1 pin2 le4 dao4
安贫乐贱   an1 pin2 le4 jian4
安贫守道   an1 pin2 shou3 dao4
暗气暗恼   an4 qi4 an4 nao3
鞍前马后   an1 qian2 ma3 hou4
按强助弱   an4 qiang2 zhu4 ruo4
安全系数   an1 quan2 xi4 shu4
岸然道貌   an4 ran2 dao4 mao4
黯然魂销   an4 ran2 hun2 xiao1
安然如故   an1 ran2 ru2 gu4
黯然伤神   an4 ran2 shang1 shen2
黯然神伤   an4 ran2 shen2 shang1
黯然失色   an4 ran2 shi1 se4
黯然无色   an4 ran2 wu2 se4
黯然无神   an4 ran2 wu2 shen2
安然无事   an1 ran2 wu2 shi4
安然无恙   an1 ran2 wu2 yang4
黯然销魂   an4 ran2 xiao1 hun2
安忍无亲   an1 ren3 wu2 qin1
安如磐石   an1 ru2 pan2 shi2
安如太山   an1 ru2 tai4 shan1
安如泰山   an1 ru2 tai4 shan1
安若泰山   an1 ruo4 tai4 shan1
暗弱无断   an4 ruo4 wu2 duan4
安神定魄   an1 shen2 ding4 po4
安身乐业   an1 shen1 le4 ye4
安身立命   an1 shen1 li4 ming4
安身为乐   an1 shen1 wei2 le4
安身之处   an1 shen1 zhi1 chu4
安身之地   an1 shen1 zhi1 di4
安生服业   an1 sheng1 fu2 ye4
安生乐业   an1 sheng1 le4 ye4
暗室不欺   an4 shi4 bu4 qi1
闇室不欺   an1 shi4 bu4 qi1
安时处顺   an1 shi2 chu3 shun4
暗室逢灯   an4 shi4 feng2 deng1
暗室亏心   an4 shi4 kui1 xin1
安室利处   an1 shi4 li4 chu4
暗室欺心   an4 shi4 qi1 xin1
暗室求物   an4 shi4 qiu2 wu4
安适如常   an1 shi4 ru2 chang2
暗室私心   an4 shi4 si1 xin1
暗室屋漏   an4 shi4 wu1 lou4
暗送秋波   an4 song4 qiu1 bo1
安提戈涅   an1 ti2 ge1 nie4
安土乐业   an1 tu3 le4 ye4
按图索骥   an4 tu2 suo3 ji4
按图索骏   an4 tu2 suo3 jun4
安土重旧   an1 tu3 zhong4 jiu4
安土重居   an1 tu3 zhong4 ju1
安土重迁   an1 tu3 zhong4 qian1
安危相易   an1 wei1 xiang1 yi4
安危与共   an1 wei1 yu3 gong4
案无留牍   an4 wu2 liu2 du2
暗无天日   an4 wu2 tian1 ri4
闇无天日   an1 wu2 tian1 ri4
安闲自得   an1 xian2 zi4 de2
安闲自在   an1 xian2 zi4 zai4
暗香疏影   an4 xiang1 shu1 ying3
安心定志   an1 xin1 ding4 zhi4
安心乐业   an1 xin1 le4 ye4
安心乐意   an1 xin1 le4 yi4
安心落意   an1 xin1 luo4 yi4
按行自抑   an4 xing2 zi4 yi4
安营下寨   an1 ying2 xia4 zhai4
安营扎寨   an1 ying2 zha1 zhai4
安于盘石   an1 yu2 pan2 shi2
安于磐石   an1 yu2 pan2 shi2
安于现状   an1 yu2 xian4 zhuang4
安于一隅   an1 yu4 yi1 yu4
安宅正路   an1 zhai2 zheng4 lu4
安枕而卧   an1 zhen3 er2 wo4
安之若命   an1 zhi1 ruo4 ming4
安之若素   an1 zhi1 ruo4 su4
暗中摸索   an4 zhong1 mo1 suo3
安坐待毙   an1 null dai4 bi4
昂昂不动   ang2 ang2 bu4 dong4
肮肮脏脏   ang1 ang1 zang1 zang1
昂昂自若   ang2 ang2 zi4 null
昂藏七尺   ang2 cang2 qi1 chi3
昂然而入   ang2 ran2 er2 ru4
昂然直入   ang2 ran2 zhi2 ru4
昂然自得   ang2 ran2 zi4 de2
昂然自若   ang2 ran2 zi4 ruo4
昂首阔步   ang2 shou3 kuo4 bu4
昂首伸眉   ang2 shou3 shen1 mei2
昂首天外   ang2 shou3 tian1 wai4
昂首挺胸   ang2 shou3 ting3 xiong1
昂首望天   ang2 shou3 wang4 tian1
卬首信眉   ang2 shou3 shen1 mei2
卬头阔步   ang2 tou2 kuo4 bu4
昂头阔步   ang2 tou2 kuo4 bu4
昂头天外   ang2 tou2 tian1 wai4
昂头挺胸   ang2 tou2 ting3 xiong1
昂霄耸壑   ang2 xiao1 song3 he4
盎盂相击   ang4 yu2 xiang1 ji1
盎盂相敲   ang4 yu2 xiang1 qiao1
嗷嗷待哺   ao2 ao2 dai4 bu3
熬熬汲汲   ao2 ao2 ji2 ji2
熬熬煎煎   ao2 ao2 jian1 jian1
傲不可长   ao4 bu4 ke3 zhang3
敖不可长   ao4 bu4 ke3 zhang3
熬肠刮肚   ao2 chang2 gua1 du4
奥德修纪   ao4 de2 xiu1 ji4
奥德修斯   ao4 de2 xiu1 si1
鳌愤龙愁   ao2 fen4 long2 chou2
熬更守夜   ao2 geng1 shou3 ye4
傲骨嶙嶙   ao4 gu3 lin2 lin2
懊悔莫及   ao4 hui3 mo4 ji2
懊悔无及   ao4 hui3 wu2 ji2
熬姜呷醋   ao2 jiang1 xia1 cu4
熬枯受淡   ao2 ku1 shou4 dan4
鳌里夺尊   ao2 li3 duo2 zun1
傲慢不逊   ao4 man4 bu4 xun4
傲慢少礼   ao4 man4 shao3 li3
傲慢无礼   ao4 man4 wu2 li3
奥妙无穷   ao4 miao4 wu2 qiong2
鳌鸣鳖应   ao2 ming2 bie1 ying1
