鞍马之劳 ān mǎ zhī láo 65100
安眉带眼 ān méi dài yǎn 40400
暗昧之事 àn mèi zhī shì 74500
安民告示 ān mín gào shì 603000
按名责实 àn míng zé shí 3370
按捺不住 àn nà bù zhù 15500000
安内攘外 ān nèi rǎng wài 338000
按辔徐行 àn pèi xú xíng 142000
安贫乐道 ān pín lè dào 3040000
安贫乐贱 ān pín lè jiàn 5240
安贫守道 ān pín shǒu dào 105000
暗气暗恼 àn qì àn nǎo 29200
鞍前马后 ān qián mǎ hòu 2130000
按强助弱 àn qiáng zhù ruò 1870
安全系数 ān quán xì shù 22000000
岸然道貌 àn rán dào mào 73600
黯然魂销 àn rán hún xiāo 14900
安然如故 ān rán rú gù 254000
黯然伤神 àn rán shāng shén 845000
黯然神伤 àn rán shén shāng 7040000
黯然失色 àn rán shī sè 2500000
黯然无色 àn rán wú sè 160000
黯然无神 àn rán wú shén 77200
安然无事 ān rán wú shì 1080000
安然无恙 ān rán wú yàng 15400000
黯然销魂 àn rán xiāo hún 1560000
安忍无亲 ān rěn wú qīn 6880
安如磐石 ān rú pán shí 202000
安如太山 ān rú tài shān 5210
安如泰山 ān rú tài shān 429000
安若泰山 ān ruò tài shān 109000
暗弱无断 àn ruò wú duàn 4350
安神定魄 ān shén dìng pò 133000
安身乐业 ān shēn lè yè 49700
安身立命 ān shēn lì mìng 8630000
安身为乐 ān shēn wéi lè 51600
安身之处 ān shēn zhī chù 824000
安身之地 ān shēn zhī dì 637000
安生服业 ān shēng fú yè 510000
安生乐业 ān shēng lè yè 61400
暗室不欺 àn shì bù qī 143000
闇室不欺 ān shì bù qī 650
安时处顺 ān shí chǔ shùn 171000
暗室逢灯 àn shì féng dēng 83500
暗室亏心 àn shì kuī xīn 184000
安室利处 ān shì lì chù 40200
暗室欺心 àn shì qī xīn 61500
暗室求物 àn shì qiú wù 4870
安适如常 ān shì rú cháng 75600
暗室私心 àn shì sī xīn 20900
暗室屋漏 àn shì wū lòu 73800
暗送秋波 àn sòng qiū bō 2060000
安提戈涅 ān tí gē niè 463000
安土乐业 ān tǔ lè yè 163000
按图索骥 àn tú suǒ jì 4370000
按图索骏 àn tú suǒ jùn 443
安土重旧 ān tǔ zhòng jiù 2850
安土重居 ān tǔ zhòng jū 2790
安土重迁 ān tǔ zhòng qiān 928000
安危相易 ān wēi xiāng yì 86900
安危与共 ān wēi yǔ gòng 55900
案无留牍 àn wú liú dú 74900
暗无天日 àn wú tiān rì 4990000
闇无天日 ān wú tiān rì 395
安闲自得 ān xián zì dé 240000
安闲自在 ān xián zì zài 398000
暗香疏影 àn xiāng shū yǐng 842000
安心定志 ān xīn dìng zhì 93000
安心乐业 ān xīn lè yè 101000
安心乐意 ān xīn lè yì 515000
安心落意 ān xīn luò yì 63300
按行自抑 àn xíng zì yì 2950
安营下寨 ān yíng xià zhài 11800
安营扎寨 ān yíng zhā zhài 4400000
安于盘石 ān yú pán shí 9780
安于磐石 ān yú pán shí 21700
安于现状 ān yú xiàn zhuàng 11200000
安于一隅 ān yù yī yù 169000
安宅正路 ān zhái zhèng lù 25700
安枕而卧 ān zhěn ér wò 7090
安之若命 ān zhī ruò mìng 257000
安之若素 ān zhī ruò sù 6000000
暗中摸索 àn zhōng mō suǒ 308000
安坐待毙 ān zuò dài bì 89600
昂昂不动 áng áng bù dòng 288000
肮肮脏脏 āng āng zāng zāng 991000
昂昂自若 áng áng zì roò 62600
昂藏七尺 áng cáng qī chǐ 111000
昂然而入 áng rán ér rù 39300
昂然直入 áng rán zhí rù 352000
昂然自得 áng rán zì dé 133000
昂然自若 áng rán zì ruò 24300
昂首阔步 áng shǒu kuò bù 2090000
昂首伸眉 áng shǒu shēn méi 53100
昂首天外 áng shǒu tiān wài 159000
昂首挺胸 áng shǒu tǐng xiōng 2780000
昂首望天 áng shǒu wàng tiān 115000
卬首信眉 áng shǒu shēn méi 3830
卬头阔步 áng tóu kuò bù 2750
昂头阔步 áng tóu kuò bù 6190
昂头天外 áng tóu tiān wài 65400
昂头挺胸 áng tóu tǐng xiōng 375000
昂霄耸壑 áng xiāo sǒng hè 32100
盎盂相击 àng yú xiāng jī 2620
盎盂相敲 àng yú xiāng qiāo 2380
嗷嗷待哺 áo áo dài bǔ 3760000
熬熬汲汲 áo áo jí jí 198000
熬熬煎煎 áo áo jiān jiān 29800
傲不可长 ào bù kě zhǎng 494000
敖不可长 ào bù kě zhǎng 89700
熬肠刮肚 áo cháng guā dù 14600
奥德修纪 ào dé xiū jì 117000
奥德修斯 ào dé xiū sī 1000000
鳌愤龙愁 áo fèn lóng chóu 5250
熬更守夜 áo gēng shǒu yè 169000
傲骨嶙嶙 ào gǔ lín lín 125000
懊悔莫及 ào huǐ mò jí 7840
懊悔无及 ào huǐ wú jí 6930
熬姜呷醋 áo jiāng xiā cù 12700
熬枯受淡 áo kū shòu dàn 1810
鳌里夺尊 áo lǐ duó zūn 27000
傲慢不逊 ào màn bù xùn 144000
傲慢少礼 ào màn shǎo lǐ 5840
傲慢无礼 ào màn wú lǐ 2110000
奥妙无穷 ào miào wú qióng 679000
鳌鸣鳖应 áo míng biē yīng 1500
懊恼泽家 ào nǎo zé jiā 483
傲睨得志 ào nì dé zhì 40600
傲睨万物 ào nì wàn wù 54400
傲睨一切 ào nì yī qiè 40500
傲睨一世 ào nì yī shì 71100
傲睨自若 ào nì zì ruò 46400
熬清受淡 áo qīng shòu dàn 2000
熬清守淡 áo qīng shǒu dàn 2980
傲然挺立 ào rán tǐng lì 2400000
傲然屹立 ào rán yì lì 980000
傲世轻物 ào shì qīng wù 45500
敖世轻物 áo shì qīng wù 3350
傲霜斗雪 ào shuāng dòu xuě 573000
傲头傲脑 ào tóu ào nǎo 9240
鳌头独占 áo tóu dú zhàn 303000
凹凸不平 āo tū bù píng 17500000
傲贤慢士 ào xián màn shì 3630
遨翔自得 áo xiáng zì dé 3660
熬心费力 áo xīn fèi lì 4070
傲雪凌霜 ào xuě líng shuāng 807000
傲雪欺霜 ào xuě qī shuāng 255000
聱牙戟口 áo yá jǐ kǒu 16700
聱牙佶屈 áo yá jí qū 607000
聱牙诘屈 áo yá jié qū 14400
聱牙诘曲 áo yá jié qū 16900
謷牙诘屈 áo yá jié qū 11600
聱牙诎曲 áo yá qū qǔ 945
熬油费火 áo yóu fèi huǒ 2670
奥援有灵 ào yuán yǒu líng 3710
鳌掷鲸呿 áo zhì jīng qù 3730
鳌掷鲸吞 áo zhì jīng tūn 16200
巴巴急急 bā bā jí jí 104000
巴巴劫劫 bā bā jié jié 329000
巴巴结结 bā bā jiē jiē 3090000
八百孤寒 bā bǎi gū hán 117000
八百里驳 bā bǎi lǐ bó 911000
八百姻娇 bā bǎi yīn jiāo 15500
八拜之交 bā bài zhī jiāo 1210000
八百诸侯 bā bǎi zhū hóu 1110000
八棒十挟 bā bàng shí jiā 429
拔本塞原 bá běn sè yuán 2010
拔本塞源 bá běn sè yuán 139000
把臂入林 bǎ bì rù lín 59100
把臂徐去 bǎ bì xú qù 2180
八病九痛 bā bìng jiǔ tòng 21600
拔不出腿 bá bù chū tuǐ 371000
巴不能勾 bā bù néng gōu 1560000
把持不定 bǎ chí bù dìng 11700
罢黜百家 bā chù bǎi jiā 1940000
八窗玲珑 bā chuāng líng lóng 37400
拔丛出类 bá cóng chū lèi 3170
拔萃出类 bá cuì chū lèi 4350000
拔萃出群 bá cuì chū qún 3290
八大胡同 bā dà hú tòng 661000
八搭麻鞋 bā dā má xié 2600
八大山人 bā tài shān rén 4170000
霸道横行 bà dào héng xíng 2450000
拔刀相向 bá dāo xiāng xiàng 822000
拔刀相助 bá dāo xiāng zhù 2100000
拔地参天 bá dì cān tiān 89800
拔地摇山 bá dì yáo shān 4960
拔地倚天 bá dì yǐ tiān 82300
拔丁抽楔 bá dīng chōu xiē 19200
八洞神仙 bā dòng shén xiān 189000
八斗之才 bā dǒu zhī cái 456000
把饭叫饥 bǎ fàn jiào jī 2490
八方风雨 bā fāng fēng yǔ 369000
八方呼应 bā fāng hū yìng 132000
八方支持 bā fāng zhī chí 2170000
八方支援 bā fāng zhī yuán 3700000
八府巡按 bā fǔ xún àn 196000
扒高踩低 bā gāo cǎi dī 25700
巴高望上 bā gāo wàng shàng 3980
巴高枝儿 bā gāo zhī ér 3230
八功德水 bā gōng dé shuǐ 335000
八卦方位 bā guà fāng wèi 3440000
八观六验 bā guān liù yàn 69900
拔锅卷席 bá guō juǎn xí 2360
八国联军 bā guó lián jūn 12300000
八纮同轨 bā hóng tóng guǐ 64300
跋扈飞扬 bá hù fēi yáng 151000
跋扈将军 bá hù jiāng jūn 590000
跋胡疐尾 bá hú zhì wěi 2650
跋扈恣睢 bá hù zì suī 129000
跋扈自恣 bá hù zì zì 32100
八荒之外 bā huāng zhī wài 7340
拔火罐子 bá huǒ guàn zi 1580000
拔剑论功 bá jiàn lùn gōng 20800
八街九陌 bā jiē jiǔ mò 87300
扒街淘空 bā jiē táo kōng 229
把酒持螯 bǎ jiǔ chí áo 52700
拔葵啖枣 bá kuí dàn zǎo 2090
拔葵去织 bá kuí qù zhī 26500
拔来报往 bá lái fù wǎng 3910
跋来报往 bá lái fù wǎng 2810
拔类超群 bá lèi chāo qún 4960
巴黎和会 bā lí hé huì 2200000
霸陵醉尉 bà líng zuì wèi 25500
跋履山川 bá lǚ shān chuān 57500
拔毛济世 bá máo jì shì 54800
拔毛连茹 bá máo lián rú 24400
拔茅连茹 bá máo lián rú 70800
八米卢郎 bā mǐ lú láng 1920
八面见光 bā miàn jiàn guāng 110000
八面玲珑 bā miàn líng lóng 6090000
八面驶风 bā miàn shǐ fēng 4860
八面受敌 bā miàn shòu dí 162000
八面威风 bā miàn wēi fēng 1710000
八面莹澈 bā miàn yíng chè 53700
八面圆通 bā miàn yuán tōng 69000
八面张罗 bā miàn zhāng luo 4910
拔苗助长 bá miáo zhù zhǎng 5060000
八难三灾 bā nàn sān zāi 330000
八旗子弟 bā qí zi dì 1930000
跋前踕后 bá qián jié hòu 13500
八千卷楼 bā qiān juàn lóu 118000
巴前算后 bā qián suàn hòu 3550
跋前疐后 bá qián zhì hòu 74700
跋前踬后 bá qián zhì hòu 72500
霸权主义 bà quán zhǔ yì 2820000
拔群出萃 bá qún chū cuì 5790
八人大轿 bā rén dà jiào 143000
巴人下里 bā rén xià lǐ 39300
霸闰之朝 bà rùn zhī cháo 303
巴三揽四 bā sān lǎn sì 2870
巴三览四 bā sān lǎn sì 75600
拔山超海 bá shān chāo hǎi 123000
巴山度岭 bā shān dù lǐng 3870
拔山盖世 bá shān gài shì 202000
拔山扛鼎 bá shān gāng dǐng 148000
拔山举鼎 bá shān jǔ dǐng 205000
跋山涉川 bá shān shè chuān 1320000
跋山涉水 bá shān shè shuǐ 9100000
巴山蜀水 bā shān shǔ shuǐ 1210000
巴山夜雨 bā shān yè yǔ 2420000
巴山越岭 bā shān yuè lǐng 37200
拔舌地狱 bá shé dì yù 1090000
跋涉山川 bá shè shān chuān 99900
八声甘州 bā shēng gān zhōu 1680000
拔十得五 bá shí dé wǔ 6340
拔十失五 bá shí shī wǔ 44600
八十四调 bā shí sì diào 5580
八十种好 bā shí zhǒng hǎo 2080000
拔树撼山 bá shù hàn shān 2950
拔树搜根 bá shù sōu gēn 4490
拔树削迹 bá shù xiāo jì 1210
拔树寻根 bá shù xún gēn 36000
把素持斋 bǎ sù chí zhāi 5830
八抬大轿 bā tái dà jiào 1270000
巴头探脑 bā tóu tàn nǎo 3350
八万四千 bā wàn sì qiān 1830000
把玩无厌 bǎ wán wǔ yàn 25900
霸王别姬 bà wáng bié jī 11100000
霸王风月 bà wáng fēng yuè 264000
霸王卸甲 bà wáng xiè jiǎ 675000
八王之乱 bā wáng zhī luàn 1300000
霸王之资 bà wáng zhī zī 361000
拔犀擢象 bá xī zhuó xiàng 24000
拔辖投井 bá xiá tóu jǐng 1960
八仙过海 bā xiān guò hǎi 10100000
拔新领异 bá xīn lǐng yì 50500
把薪助火 bǎ xīn zhù huǒ 37700
八音迭奏 bā yīn dié zòu 135000
八音遏密 bā yīn è mì 3880
八音领袖 bā yīn lǐng xiù 595000
拔宅飞升 bá zhái fēi shēng 72200
拔宅上升 bá zhái shàng shēng 271000
拔赵易汉 bá zhào yì hàn 1660
拔着短筹 bá zhe duǎn chóu 1360
八珍玉食 bā zhēn yù shí 165000
拔帜树帜 bá zhì shù zhì 2820
拔帜易帜 bá zhì yì zhì 124000
跋烛之咨 bá zhú zhī zī 4230
八砖学士 bā zhuān xué shì 3500
八字打开 bā zì dǎ kāi 398000
八字门楼 bā zì mén lóu 275000
八座尚书 bā zuò shàng shū 33600
摆八卦阵 bǎi bā guà zhèn 1910000
百八真珠 bǎi bā zhēn zhū 18100
白白朱朱 bái bái zhū zhū 180000
百般刁难 bǎi bān diāo nàn 1690000
百般奉承 bǎi bān fèng chéng 93100
百般抚慰 bǎi bān fǔ wèi 84900
百般无赖 bǎi bān wú lài 227000
百般折磨 bǎi bān zhé mó 166000
百宝万货 bǎi bǎo wàn huò 26800
百弊丛生 bǎi bì cóng shēng 8730
白璧青蝇 bái bì qīng yíng 56800
白璧三献 bái bì sān xiàn 3380
白璧微瑕 bái bì wēi xiá 551000
白璧无瑕 bái bì wú xiá 714000
百步穿杨 bǎi bù chuān yáng 4110000
百不当一 bǎi bù dāng yī 7010
百不获一 bǎi bù huò yī 4780
百不失一 bǎi bù shī yī 273000
败不旋踵 bài bù xuán zhǒng 55400
百不一存 bǎi bù yī cún 38300
百不一贷 bǎi bù yī dài 27400
百不一遇 bǎi bù yī yù 109000
败材伤锦 bài cái shāng jǐn 2150
白草黄云 bái cǎo huáng  yún 5100
百城之富 bǎi chéng zhī fù 7680
柏成子高 bǎi chéng zǐ gāo 1140
百尺竿头 bǎi chǐ gān tóu 7510000
白齿青眉 bái chǐ qīng méi 2930
百尺无枝 bǎi chǐ wú zhī 114000
百虫将军 bǎi chóng jiāng jūn 105000
百川朝海 bǎi chuān cháo hǎi 73800
百川赴海 bǎi chuān fù hǎi 56000
百川归海 bǎi chuān guī hǎi 1050000
百辞莫辩 bǎi cí mò biàn 12400
拜赐之师 bài cì zhī shī 45800
百代过客 bǎi dài guò kè 99800
百代文宗 bǎi dài wén zōng 174000
拜倒辕门 bài dǎo yuán mén 24000
败德辱行 bài dé rǔ xíng 3330
白地将军 bái dì jiāng jūn 449000
白藋同心 bái diào tóng xīn 3480
白丁俗客 bái dīng sú kè 38200
百读不厌 bǎi dú bù yàn 2210000
百堵皆作 bǎi dǔ jiē zuò 4140
